name,cif_file,Di,Df,Dif,cell_v,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
qmof-099c53d_primitive,qmof-099c53d_primitive.cif,7.96765,7.5975,7.94145,1221.48,1413.04,1742.76,0.4835,0.5963224112392282,0.4835,0.0,0.596322,0.0,590.585,0.0,0.0,0.0,0.0,0.0,0.0,0.37,-0.02,-0.03,0.0,2.0,0.0,0.0,0.0,6.5,1.0,1.5,0.0,0.9428900000000002,-3.900000000000001,-5.85,0.0,1.085,0.4900000000000002,0.7350000000000003,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.5,1.5,1.0,2.0,0.28125,0.5662499999999999,0.5775,1.1475,4.5,7.5,9.0,18.0,24.5,28.0,42.0,87.5,27.38000000000001,75.162614,83.62,152.81,4.6208,10.564,7.752000000000001,16.2488,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.1492,57.59939999999999,60.4148,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.5456000000001,880.2258000000003,922.4703999999996,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,27.0,56.0,86.0,109.0,12.0899,27.96760000000001,40.90540000000001,47.882500000000014,142.0,349.0,492.0,549.0,817.0,1648.0,2418.0,2660.0,186.331,374.8269999999999,575.3784,706.1981000000001
qmof-3b48e5d_primitive,qmof-3b48e5d_primitive.cif,8.68159,6.89687,8.54804,3677.05,1512.04,1611.17,0.4458,0.4750274914968161,0.4458,0.0,0.475028,0.0,1639.23,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.1799999999999999,0.96,0.0,-1.0,-3.0,-3.0,0.0,10.0,13.0,33.5,0.0,-0.953555000000001,-2.700000000000001,4.789334999999997,0.0,1.37,1.5000000000000009,3.5250000000000004,0.0,0.0,0.0,0.0,0.0,-0.04,0.7200000000000001,0.7399999999999999,0.0,-2.0,0.0,1.0,0.0,2.0,14.0,13.0,0.0,-7.800000000000002,-2.01422,1.8857800000000005,0.0,0.9800000000000004,2.66,2.17,1.0,1.5,2.0,4.0,0.7565,0.79725,1.3244,2.1068,2.5,5.5,9.0,14.0,176.5,79.0,150.0,195.0,120.625,124.37884150000002,224.87,332.5626475,10.9096,12.199000000000003,16.83,31.952,1.0,2.0,4.0,3.0,0.5625,1.155,1.71,1.1324999999999998,4.0,12.0,16.0,10.0,49.0,84.0,98.0,56.0,54.76000000000001,167.24,233.94522800000004,150.325228,9.2416,15.504,28.88000000000001,21.128,0.0,0.0,0.0,0.0,0.0,3.42,2.84,11.18,0.0,22.0,12.0,52.0,0.0,206.0,168.0,582.0,0.0,-8.580000000000002,-3.4399999999999995,-13.82,123.0,280.0,494.0,692.0,64.75280000000002,171.5971999999997,294.17759999999987,384.9855999999999,786.0,2140.0,3442.0,4464.0,12692.0,31024.0,46372.0,46696.0,801.6083000000003,1788.4228000000005,3384.6993999999986,4470.899200000004,1.0,6.0,6.0,14.0,2.1904,8.0808,8.9392,14.119199999999998,36.0,84.0,144.0,192.0,2304.0,3936.0,5760.0,4320.0,2.8561,31.6368,22.9502,63.34119999999999,54.0,118.0,188.0,252.0,24.40220000000001,59.24620000000003,91.44759999999998,113.36359999999996,306.0,782.0,1180.0,1424.0,1902.0,3536.0,5408.0,6332.0,344.31659999999994,768.2930000000005,1211.0000000000002,1597.7280000000003
qmof-38471da_primitive,qmof-38471da_primitive.cif,6.52726,4.51272,6.29487,3601.69,1347.4,1514.65,0.3473,0.390409395905254,0.3473,0.0,0.390409,0.0,1250.87,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.5499999999999999,0.1599999999999999,0.0,0.5,3.0,1.1666666666666667,0.0,4.0,10.0,4.5,0.0,-2.453555,0.439335,-4.403555000000001,0.0,0.9100000000000004,1.75,1.1550000000000002,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.06,0.0,-2.0,-1.5,-2.5,0.0,2.0,2.0,3.0,0.0,-6.000000000000001,-6.000000000000001,-9.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.3350000000000002,0.5,1.5,2.5,2.0,0.28125,0.71625,0.99375,1.005,4.5,12.0,13.5,14.5,24.5,45.5,52.5,66.5,27.38000000000001,100.296307,133.648921,142.10630700000004,4.6208,11.095999999999998,17.784000000000006,14.972000000000005,1.0,1.0,2.0,1.5,0.5328999999999998,0.5621,1.0950000000000002,0.8431500000000001,1.0,3.0,3.5,4.0,64.0,48.0,112.0,72.0,28.089999999999996,59.88999999999999,87.98,89.835,11.8336,8.771999999999997,20.605599999999992,13.157999999999996,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,40.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.62,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999996,102.24380000000002,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.3017,402.8928,1091.5238000000002,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,145.33333333333334,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666669,31.33333333333333,65.66666666666667,106.0,131.33333333333334,13.757266666666666,32.47643333333334,48.47833333333335,57.01446666666669,171.66666666666666,424.0,603.3333333333334,711.0,898.6666666666666,1877.3333333333333,2774.0,3019.0,210.27046666666664,432.0728333333334,693.6369000000001,824.5360000000001
qmof-b8bda61_primitive,qmof-b8bda61_primitive.cif,22.12816,22.01717,22.12816,2872.75,949.678,1361.15,0.5657,0.8108057749666404,0.5657,0.0,0.810805,0.0,1625.12,0.0,0.0,0.0,0.0,0.0,0.0,0.7400000000000001,-0.04,-0.06,0.0,4.0,0.0,0.5,0.0,13.0,2.0,3.0,0.0,1.8857800000000005,-7.799999999999998,-11.7,0.0,2.17,0.9800000000000004,1.4700000000000006,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,1.0,3.0,2.0,4.0,0.5625,1.1325,1.155,2.295,9.0,15.0,18.0,34.5,49.0,56.0,84.0,175.0,54.76,150.325228,167.24,305.61999999999995,9.2416,21.128,15.504,32.4976,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.833600000000002,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,1.47,1.47,0.0,24.0,9.0,9.0,0.0,30.0,21.0,21.0,0.0,-10.98,-2.8199999999999994,-2.8199999999999994,10.0,24.0,36.0,24.0,6.563699999999999,17.782799999999998,21.8082,13.4904,72.0,192.0,192.0,96.0,661.0,1824.0,2388.0,1152.0,93.1012,171.72479999999996,379.641,210.528,1.0,6.0,3.0,3.0,1.5876,5.5188000000000015,2.9106,2.9106,36.0,72.0,54.0,54.0,169.0,624.0,234.0,234.0,2.5921000000000003,33.2304,12.3165,12.3165,44.0,90.0,136.0,174.0,18.30840000000001,42.77540000000001,62.50320000000002,81.97740000000005,226.0,548.0,788.0,1014.0,1240.0,2504.0,3776.0,4928.0,302.7472,629.3090000000002,908.6444,1192.5158
qmof-c3ad823_primitive,qmof-c3ad823_primitive.cif,6.66079,5.1055,6.08657,2534.13,2312.39,2920.05,0.5562,0.702359635409432,0.5562,0.0,0.70236,0.0,1409.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1149999999999999,-0.02,0.0149999999999999,0.0,-0.25,-0.375,-0.75,0.0,3.625,1.0,2.375,0.0,-2.7026662500000005,-3.0000000000000004,-3.9508887500000007,0.0,0.91,0.445,0.8,0.0,0.0,0.0,0.0,0.0,-0.021,0.276,0.3165,0.0,-1.05,-1.325,-0.2625,0.0,1.05,7.1375,6.3625,0.0,-4.005,-5.725954625,-1.613810125,0.0,0.5100000000000002,1.7341250000000006,1.260625,0.5,0.875,1.0,1.125,0.2664499999999999,0.3823375,0.5475,0.5885625,1.625,3.375,3.625,4.5,32.0,27.0,56.0,53.0,14.045,38.902881125,43.99,52.540960375,5.9168,7.224,10.302799999999998,10.5608,1.0,1.95,2.95,2.275,0.56102,1.1111049999999998,1.449375,1.0381725,3.85,9.65,14.0,9.025,49.75,88.85,95.9875,68.6875,53.42650000000001,134.4555,200.617064225,131.753448375,9.3712,16.582520000000002,22.23238,17.53054,0.0,0.0,0.0,0.0,0.0,2.385,4.535,7.8900000000000015,0.0,5.75,10.5,22.25,0.0,97.5,194.0,305.0,0.0,-6.0075,-9.385000000000003,-9.797500000000005,38.0,86.0,158.0,254.0,26.476600000000005,63.14260000000004,117.875,168.30619999999996,244.0,690.0,1176.0,1440.0,5060.0,9496.0,17164.0,22560.0,281.1317,598.3425999999997,1111.9365999999998,1942.2888,1.0,4.25,8.25,14.0,1.7161000000000002,4.169075,8.216975000000001,13.689500000000004,18.25,53.5,105.75,158.25,900.0,900.0,1605.0,3450.0,2.7225,21.483,37.945875,54.280875,26.5,57.5,89.0,101.5,11.65425,28.534550000000007,41.71290000000002,42.52975000000001,147.5,370.0,529.0,533.5,736.5,1686.0,2340.0,2148.5,174.47250000000005,386.17065000000014,586.2651,641.2187000000001
qmof-bd9ffd3_primitive,qmof-bd9ffd3_primitive.cif,11.51271,10.80224,11.51271,3925.01,1556.56,2362.59,0.5674,0.8612145340956868,0.5674,0.0,0.861215,0.0,2227.05,0.0,0.0,0.0,0.0,0.0,0.0,0.74,-0.04,0.1199999999999999,0.0,4.0,0.0,1.0,0.0,13.0,2.0,6.5,0.0,1.8857800000000005,-7.800000000000002,-12.203555,0.0,2.17,0.9800000000000004,2.1350000000000007,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,3.0,2.0,4.0,0.5625,1.1324999999999998,1.155,2.16,9.0,15.0,18.0,33.0,49.0,56.0,84.0,150.5,54.76000000000001,150.325228,167.24,309.346307,9.2416,21.128,15.504,30.476000000000003,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.1496,32.1492,57.5994,60.41479999999999,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.5456,880.2258000000003,922.4704,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,39.0,83.0,132.0,175.0,16.8943,40.83550000000001,62.27720000000002,77.2103,215.0,543.0,812.0,983.0,1087.0,2336.0,3548.0,4138.0,258.7876,548.2805,861.8863999999996,1116.3384999999998
qmof-c3298fb_primitive,qmof-c3298fb_primitive.cif,8.29451,6.11998,8.21819,4688.29,1796.02,2437.65,0.4991,0.6774024986936488,0.4991,0.0,0.677402,0.0,2339.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0349999999999999,0.605,0.5149999999999998,0.0,-1.75,-1.5,-3.5,0.0,3.75,17.5,20.5,0.0,-2.1750000000000007,1.9661125,0.2196674999999972,0.0,0.5975000000000003,2.2300000000000004,2.3600000000000008,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.04,0.0,-2.0,-1.0,-1.0,0.0,2.0,2.0,2.0,0.0,-6.000000000000001,-6.000000000000001,-6.000000000000001,0.0,0.8900000000000002,0.8900000000000002,0.8900000000000002,0.5,0.75,2.25,3.0,0.37825,0.471625,1.023875,1.7960500000000004,1.25,5.0,8.25,12.0,88.25,49.5,87.25,230.5,60.3125,71.19,152.77363450000004,306.554793,5.4548,6.4005,17.721,24.8484,1.0,1.0,2.0,1.0,0.5328999999999998,0.5621,1.0950000000000002,0.5621,1.0,3.0,3.0,2.0,64.0,48.0,112.0,48.0,28.089999999999996,59.88999999999999,87.98,59.88999999999999,11.8336,8.771999999999997,20.605599999999992,8.771999999999997,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,42.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.619999999999997,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000001,77.44059999999995,102.24380000000002,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.3017,402.8927999999999,1091.5238000000004,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,134.66666666666666,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666669,34.0,70.0,130.0,182.0,14.3178,33.46420000000001,55.40539999999999,72.55700000000002,200.0,528.0,828.0,968.0,1162.0,2016.0,3248.0,4140.0,229.6111,462.315,850.5533999999999,1134.052600000001
qmof-3a9ad54_primitive,qmof-3a9ad54_primitive.cif,6.48347,5.34058,6.48166,985.003,1787.85,2007.43,0.5179,0.5815076306736012,0.5179,0.0,0.581508,0.0,510.133,0.0,0.0,0.0,0.0,0.0,0.0,0.53,-0.06,0.1299999999999999,0.0,2.0,-1.0,1.0,0.0,11.0,3.0,6.0,0.0,-1.6606650000000005,-9.900000000000002,-8.453555000000001,0.0,2.15,1.3800000000000003,1.8000000000000005,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.07,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,3.5,0.0,-6.000000000000001,-6.000000000000001,-10.05,0.0,0.8900000000000001,0.8900000000000001,1.535,1.0,2.5,2.0,4.0,0.5477,0.98235,1.1396000000000002,2.0957,6.5,11.5,15.0,22.0,56.5,56.0,90.0,177.5,41.425,117.0514555,143.51,210.1888415,10.5376,18.734,16.524,35.8964,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1169,1.0,3.0,4.0,6.0,64.0,48.0,112.0,100.0,28.09,59.89,87.98,109.445,11.8336,8.771999999999998,20.605599999999995,18.3868,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.1492,57.59939999999997,60.41480000000002,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.54559999999987,880.2257999999998,922.4703999999996,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,22.0,44.0,64.0,79.0,9.9774,21.993600000000004,30.818400000000004,35.24430000000001,108.0,257.0,342.0,359.0,735.0,1364.0,1974.0,2139.0,162.47459999999998,308.8219999999999,450.3263999999999,547.638
qmof-60626cd_primitive,qmof-60626cd_primitive.cif,5.15005,4.55449,5.15005,1644.9,834.223,804.063,0.2551,0.2458771481720658,0.2551,0.0,0.245877,0.0,419.613,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.04,0.0,-1.0,-1.0,-2.0,0.0,1.0,1.0,2.0,0.0,-3.0000000000000004,-3.0000000000000004,-6.000000000000001,0.0,0.445,0.445,0.8900000000000001,0.0,0.0,0.0,0.0,0.0,-0.04,0.3399999999999999,0.3299999999999999,0.0,-2.0,-1.0,-1.5,0.0,2.0,8.0,8.5,0.0,-6.900000000000001,-4.007110000000001,-5.057110000000001,0.0,0.9350000000000004,1.775,1.975,0.5,0.5,1.0,1.0,0.2664499999999999,0.28105,0.5475,0.5621,0.5,1.5,2.0,3.0,32.0,24.0,56.0,48.0,14.045,29.945,43.99,59.89,5.9168,4.385999999999999,10.302799999999998,8.771999999999998,1.0,1.5,3.0,2.5,0.5477,0.85855,1.4025,1.12835,2.5,7.5,10.0,8.0,56.5,66.0,105.0,76.0,41.425,113.565,160.962614,135.052614,10.5376,12.138,24.742799999999995,19.336,0.0,0.0,0.0,0.0,0.0,2.28,3.24,8.16,0.0,6.0,6.0,24.0,0.0,90.0,144.0,304.0,0.0,-6.360000000000001,-5.4,-11.180000000000003,11.0,20.0,28.0,36.0,7.4643000000000015,14.623600000000003,21.046800000000005,20.482,48.0,112.0,126.0,88.0,1342.0,2328.0,2978.0,1632.0,83.88789999999999,139.872,202.3112,299.4719999999999,1.0,4.0,6.0,12.0,1.7161000000000002,3.8776,6.052200000000001,9.9036,16.0,40.0,72.0,96.0,900.0,900.0,1080.0,1680.0,2.7225,21.384,25.245,51.117,27.0,56.0,86.0,108.0,11.297900000000002,26.857600000000005,38.335000000000015,41.918400000000005,142.0,348.0,478.0,498.0,691.0,1488.0,2028.0,1970.0,172.3438,360.366,552.5651999999998,660.6320000000002
qmof-fa2b07a_primitive,qmof-fa2b07a_primitive.cif,7.07046,5.31222,7.07046,5072.04,2024.92,1899.03,0.5209,0.4885162573033603,0.5209,0.0,0.488515,0.0,2642.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.1200000000000001,1.3999999999999997,0.0,0.0,0.0,8.0,0.0,3.0,6.0,30.0,0.0,-11.699999999999998,-23.399999999999995,-11.82844,0.0,1.4700000000000006,2.9400000000000013,6.300000000000002,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,1.0,3.0,6.0,10.0,0.5625,1.7325,3.4650000000000003,4.575,9.0,27.0,54.0,66.0,49.0,126.0,252.0,280.0,54.76000000000001,250.86,501.72,635.1304560000002,9.2416,23.256,46.512,73.264,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,6.7250000000000005,4.615,19.449999999999992,0.0,49.5,32.0,152.5,0.0,547.5,370.5,1615.0,0.0,-17.57,-6.3500000000000005,-48.70000000000001,54.0,158.0,468.0,672.0,38.21520000000003,137.59160000000003,309.82860000000005,466.55400000000014,692.0,2600.0,5334.0,7014.0,33588.0,58096.0,168288.0,153894.0,486.20519999999976,928.0720000000008,4545.105600000002,4569.551999999998,1.0,8.5,9.5,25.0,2.25,9.0375,14.4525,27.074999999999992,72.5,196.0,412.0,510.0,5184.0,4644.0,22572.0,13320.0,1.6900000000000002,37.20600000000001,24.31,105.55999999999996,76.0,164.0,264.0,350.0,33.57560000000001,81.774,125.61519999999996,150.7453999999999,428.0,1092.0,1640.0,1902.0,2146.0,4728.0,7184.0,7984.0,502.4169999999999,1074.876,1739.9288000000006,2227.3149999999987
