mat_id,abc,angles
mp-9576,"['6.79', '6.79', '6.79']","['109.5', '109.5', '109.5']"
mp-1205478,"['3.32', '3.32', '13.7']","['90', '90', '120']"
mp-1095291,"['5.49', '5.49', '6.22']","['111.4', '111.4', '99.92']"
mp-29420,"['7.51', '7.26', '7.27']","['62.19', '58.86', '58.95']"
mp-20310,"['7.63', '7.63', '7.63']","['60.1', '60.1', '60.1']"
mp-675710,"['7.18', '7.18', '7.18']","['147.6', '147.6', '46.52']"
mp-1181839,"['14.5', '12.9', '7.71']","['85.15', '62.8', '32.05']"
mp-1213022,"['6.22', '7.53', '9.08']","['102.1', '90', '90']"
mp-30996,"['9.28', '9.28', '9.28']","['107.9', '107.9', '107.9']"
mp-15222,"['5.19', '5.72', '7.53']","['90', '90', '90']"
mp-1227444,"['6.86', '7.25', '8.48']","['90', '90', '90']"
mp-1224517,"['6.91', '7.05', '7.95']","['106.3', '89.82', '99.52']"
mp-626218,"['7.26', '7.27', '7.87']","['116.6', '90', '119.9']"
mp-27175,"['13.7', '16.7', '20.5']","['90', '109.1', '90']"
mp-1821,"['11', '11', '10.6']","['90', '90', '90']"
mp-1025549,"['6.58', '6.55', '12.5']","['89.97', '97.35', '89.92']"
mp-27852,"['8.21', '8.21', '8.21']","['109.5', '109.5', '109.5']"
mp-505700,"['8.17', '8.17', '15.7']","['82.55', '82.55', '90.01']"
mp-559257,"['6.92', '6.52', '13.3']","['89', '90', '90']"
